"longitude","latitude","SPL"
-154.38903167,51.12643167,136.046553259436
-154.24333333,53.42666667,151.6761408539
-154.01333333,55.11833333,123.829466054718
-153.69104333,5.36291667,118.811817146045
-153.91714667,6.85961,118.208730072445
-153.96821667,7.57062,139.457274938001
-153.54919833,26.24483667,155.588524129118
-153.91532667,44.67562833,155.980055428881
-153.1654,52.93203333,133.482054041289
-152.53333333,-18.63,131.288538313644
-152.339265,8.69757,132.830959106793
-152.17854167,28.91416333,0
-152.87272833,32.79815833,0
-152.20746833,35.80014,139.829709298568
-152.23734167,39.04113333,227.586192023197
-152.56333333,39.03333333,139.88941347287
-152.369225,44.44605,131.504528767078
-152.33261667,57.72963167,0
-152.45914667,57.89386167,0
-151.5742,-16.66855167,107.416479930624
-151.36995,6.54348833,118.502341698576
-151.55368833,39.05186667,227.586192023197
-151.76310667,40.760945,137.380942516499
-151.04430667,41.99908333,143.270039705151
-151.39505167,43.94098,140.341313814552
-151.986735,44.39144167,136.899274827553
-151.34600667,51.17681667,237.577392521181
-151.22309667,52.33498833,134.157897600365
-151.19006833,53.04614333,131.371159698675
-151.30813333,53.05281667,137.678806431277
-151.89287,53.671855,135.725083152075
-151.57773167,54.30071167,135.948212005098
-151.97601167,57.95044167,136.346179147476
-151.96333333,59.08,154.453450064854
-151.40166667,60.92666667,120.486748318489
-151.03186667,77.89572667,135.500787586489
-150.56827833,25.56894167,137.749632249513
-150.89878333,27.47028167,135.442519187345
-150.76482167,27.172805,135.940798200149
-150.07614167,28.65372833,263.623271867101
-150.46280833,28.3902,225.639408575188
-150.179825,40.53344667,133.869423672571
-150.872885,40.61735333,141.809127474333
-150.581095,42.036185,138.907041410146
-150.10088333,42.22965,142.384118454228
-150.652765,43.33448833,140.736628268643
-150.05166667,43.74333333,143.826176118051
-150.79235167,51.438495,136.192122266101
-150.64,55.63333333,135.007139831882
-150.41833333,61.13333333,113.799025074515
-150.25914333,81.87962833,228.815042962236
-149.90474167,-17.539,0
-149.71927,-17.52526167,133.973747742333
-149.64254667,-17.5265,139.648879228339
-149.57666667,-17.53166667,0
-149.82251167,-17.50089,0
-149.90171,35.97275,138.224357790243
-149.49201333,39.12890833,138.004153903106
-149.57135,39.38989667,138.000126275462
-149.94890333,41.501125,134.347680187122
-149.36166667,43.3375,138.86197290374
-149.68855,45.58745,147.633311297631
-149.24166667,49.32833333,136.502409896471
-149.14215667,51.35735,132.438845761133
-149.96556,52.435095,130.575616109497
-149.64166,52.733835,131.994257675188
-149.99057167,53.00200167,131.83242779621
-149.72445833,59.60492,121.958905025017
-149.48333333,59.63833333,137.758883510673
-149.42833333,59.77,144.088427638521
-149.40376167,59.930545,0
-149.53116,59.88504,129.344485085721
-149.30958333,60.00957833,162.518458147762
-149.33666667,60.00333333,121.783673555223
-149.37523,60.0371,145.4082923911
-148.29537333,-15.00139,125.040440675842
-148.86162833,2.96824833,137.936447208704
-148.79345833,11.22319167,132.492508227747
-148.544835,25.87526833,232.625849692188
-148.69133,39.41755667,134.572245187252
-148.43666667,42.20333333,134.889920589576
-148.95551,44.160525,137.531262895299
-148.49108333,46.51965,146.068038092447
-148.70166667,54.73333333,133.168639821124
-148.56166667,58.30333333,145.962740999488
-148.09055833,60.78212667,0
-148.20166667,60.88333333,149.910646070265
-148.625,60.79833333,132.222203150487
-148.56320833,60.80915833,153.416479930624
-148.52666667,60.81166667,136.149733479708
-147.51350333,-20.31042,136.188157375741
-147.70666667,-15.23333333,0
-147.55885,33.65534,148.207703462675
-147.17075,38.5314,133.061507667936
-147.352005,42.71548833,136.225284200879
-147.91550667,42.802375,152.591905217458
-147.36101667,43.01864,146.735815952496
-147.29421167,44.20695333,133.277428025895
-147.46540333,44.62189333,152.67278304394
-147.22666667,52.74333333,134.992122266101
-147.079645,60.96592333,142.004125271439
-146.68196167,-42.62562,134.753284716256
-146.93793667,22.09584333,142.471378447586
-146.084675,25.94033667,253.311726146583
-146.89813167,29.785715,141.692257353958
-146.32865833,31.11786,133.733358364591
-146.975,36.75166667,130.642242905252
-146.03015,39.80791833,144.401927521862
-146.12458667,39.17462,154.658001052916
-146.09364333,42.58411167,147.447825399753
-146.11794667,42.43728833,147.791785242228
-146.09811833,49.79349167,135.146730398559
-146.5377,53.2096,133.881836503747
-145.67207333,-8.32739167,0
-145.76584833,33.373775,0
-145.70084667,40.11244833,135.692836418313
-145.78985833,50.35997333,149.960577354191
-145.55098333,50.50629833,145.610514803556
-145.10706333,51.00675667,136.009667751379
